KA,名义功率(kW),小轮转速(r/min),带型,基准宽度Bd,Hamin,Hfmin,e,Fmin,δmin,轴孔径d
1.1,5.5,960,A,11 '/ 11,2.75 / 2.75,8.7 / 8.7,15 / 15,9 '/ 9,6 '/ 6,38 / 25,

小轮 / 大轮直径,传动比, 带基准长度, 中心矩, 小轮包角(°), 带速(m/s), 带的根数,建议带轮结构,槽轮角φ(°),最小带轮宽B,轮毂宽度L,最小外径da,轮毂直径d1,轮缘内径D1,腹板厚度C',预估毛坯质量(Kg)
140 / 280,2,1750,540.545,165.161,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1750,540.71,165.165,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1750,540.864,165.169,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1940,636.008,167.388,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1940,636.143,167.391,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1940,636.268,167.393,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1940,636.387,167.395,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,2050,691.498,168.4,7.03717,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 7~12,3.93 / 6.12
140 / 280,2,2050,691.603,168.402,7.03717,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 7~12,3.93 / 6.12
140 / 280,2,2050,691.701,168.403,7.03717,3,实心 / 孔板,38 / 38,48 / 48,48 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 7~12,3.93 / 6.12
